account_id,company_name,industry,country,region,employees,revenue_band,account_tier
ACC-00001,"Rodriguez, Figueroa and Sanchez",Technology,India,WW,250,$10M-$50M,Tier 1
ACC-00002,Doyle Ltd,Agriculture,Germany,WW,50,$1B+,Tier 2
ACC-00003,"Mcclain, Miller and Henderson",Technology,United States,WW,250,$10M-$50M,Tier 3
ACC-00004,Davis and Sons,Professional Services,United Kingdom,WW,5000,$10M-$50M,Tier 2
ACC-00005,"Guzman, Hoffman and Baldwin",Technology,South Africa,AMEA,5000,$50M-$250M,Tier 2
ACC-00006,"Gardner, Robinson and Lawrence",Financial Services,Singapore,APAC,50,<$10M,Tier 2
ACC-00007,Blake and Sons,Manufacturing,India,WW,500,<$10M,Tier 3
ACC-00008,"Henderson, Ramirez and Lewis",Professional Services,Germany,Europe,5000,<$10M,Tier 3
ACC-00009,Garcia-James,Agriculture,Kenya,AMEA,250,<$10M,Tier 1
ACC-00010,Abbott-Munoz,Manufacturing,India,APAC,250,<$10M,Tier 2
ACC-00011,Blair PLC,Education,Kenya,AMEA,100,$50M-$250M,Tier 2
ACC-00012,Dudley Group,Agriculture,Singapore,APAC,50,$1B+,Tier 3
ACC-00013,Arnold Ltd,Professional Services,Australia,APAC,100,$250M-$1B,Tier 2
ACC-00014,"Mcclure, Ward and Lee",Agriculture,South Africa,AMEA,1000,<$10M,Tier 1
ACC-00015,Williams and Sons,Manufacturing,Australia,WW,500,<$10M,Tier 1
ACC-00016,Galloway-Wyatt,Financial Services,Saudi Arabia,AMEA,5000,$250M-$1B,Tier 1
ACC-00017,James Group,Financial Services,South Africa,AMEA,500,$1B+,Tier 2
ACC-00018,"Flowers, Martin and Kelly",Manufacturing,France,Europe,100,$1B+,Tier 2
ACC-00019,"Adams, Zuniga and Wong",Technology,United States,WW,100,$10M-$50M,Tier 3
ACC-00020,"Reid, Ferguson and Sanchez",Professional Services,Germany,Europe,5000,$250M-$1B,Tier 3
ACC-00021,Gray-Mayo,Professional Services,Netherlands,Europe,25,<$10M,Tier 3
ACC-00022,"Watts, Robinson and Nguyen",Agriculture,Kenya,AMEA,50,$50M-$250M,Tier 2
ACC-00023,Perez Inc,Education,India,APAC,500,$1B+,Tier 1
ACC-00024,Morales-Jones,Agriculture,India,WW,250,$10M-$50M,Tier 2
ACC-00025,"Walter, Edwards and Rios",Professional Services,India,APAC,1000,$250M-$1B,Tier 1
ACC-00026,Wilkerson-Day,Manufacturing,India,WW,250,<$10M,Tier 1
ACC-00027,Baker and Sons,Technology,Australia,WW,50,$1B+,Tier 1
ACC-00028,"Hoffman, Baker and Richards",Agriculture,Japan,APAC,100,$50M-$250M,Tier 3
ACC-00029,"Ross, Robinson and Bright",Financial Services,Italy,Europe,250,$50M-$250M,Tier 2
ACC-00030,"Snyder, Campos and Callahan",Education,Saudi Arabia,AMEA,50,$10M-$50M,Tier 1
ACC-00031,Burton Ltd,Manufacturing,United States,WW,250,$1B+,Tier 1
ACC-00032,Carlson-Cruz,Technology,United States,WW,250,<$10M,Tier 1
ACC-00033,"Ferrell, Rice and Maddox",Technology,South Africa,AMEA,500,$250M-$1B,Tier 1
ACC-00034,Frazier Inc,Agriculture,Japan,APAC,250,$250M-$1B,Tier 2
ACC-00035,"Dyer, Potter and Mack",Technology,India,APAC,5000,$50M-$250M,Tier 2
ACC-00036,Rodriguez-Graham,Education,Germany,Europe,50,<$10M,Tier 2
ACC-00037,Smith-Bowen,Technology,South Africa,AMEA,250,$10M-$50M,Tier 3
ACC-00038,"Baker, Mason and White",Financial Services,Spain,Europe,100,$50M-$250M,Tier 2
ACC-00039,Harrell LLC,Technology,Japan,APAC,50,<$10M,Tier 3
ACC-00040,"Romero, Gonzalez and Brooks",Technology,United Kingdom,WW,100,$250M-$1B,Tier 2
ACC-00041,Ryan PLC,Financial Services,Spain,Europe,25,$10M-$50M,Tier 2
ACC-00042,George Group,Education,India,WW,10000,$50M-$250M,Tier 2
ACC-00043,Rodriguez LLC,Financial Services,France,Europe,500,$10M-$50M,Tier 1
ACC-00044,Allen-Allen,Agriculture,India,WW,25,<$10M,Tier 3
ACC-00045,"Arroyo, Miller and Tucker",Professional Services,Italy,Europe,100,<$10M,Tier 3
ACC-00046,Spence PLC,Financial Services,United States,WW,50,$10M-$50M,Tier 2
ACC-00047,Anderson Group,Professional Services,United Kingdom,WW,25,$1B+,Tier 1
ACC-00048,"Martin, Rose and Obrien",Agriculture,Italy,Europe,1000,$50M-$250M,Tier 1
ACC-00049,Hickman Ltd,Financial Services,Kenya,AMEA,5000,$10M-$50M,Tier 3
ACC-00050,"Harris, Collins and Carney",Education,Kenya,AMEA,50,<$10M,Tier 2
ACC-00051,"Brooks, Lam and Hayes",Technology,Germany,WW,250,$1B+,Tier 2
ACC-00052,Walker LLC,Manufacturing,India,APAC,250,$50M-$250M,Tier 2
ACC-00053,Chapman and Sons,Education,Singapore,APAC,25,$1B+,Tier 2
ACC-00054,"Robinson, Jones and Welch",Financial Services,India,WW,50,<$10M,Tier 3
ACC-00055,Jones Inc,Manufacturing,Singapore,APAC,250,$50M-$250M,Tier 1
ACC-00056,Jones-Young,Professional Services,Saudi Arabia,AMEA,500,<$10M,Tier 1
ACC-00057,"Washington, Ryan and Cummings",Manufacturing,Germany,Europe,25,$50M-$250M,Tier 1
ACC-00058,"Johnston, Sanchez and Kennedy",Financial Services,Saudi Arabia,AMEA,5000,$1B+,Tier 1
ACC-00059,Lee-Davis,Technology,United Kingdom,WW,25,$50M-$250M,Tier 3
ACC-00060,Gomez-Jenkins,Education,Australia,APAC,25,$50M-$250M,Tier 2
ACC-00061,"Brown, Valdez and Lucas",Manufacturing,United Kingdom,WW,250,<$10M,Tier 2
ACC-00062,Powell LLC,Professional Services,France,Europe,250,$10M-$50M,Tier 1
ACC-00063,Wright and Sons,Technology,France,Europe,1000,$250M-$1B,Tier 3
ACC-00064,"West, Henderson and Ramirez",Manufacturing,Australia,APAC,50,$250M-$1B,Tier 1
ACC-00065,Baxter Inc,Financial Services,France,Europe,10000,$50M-$250M,Tier 2
ACC-00066,Morton-Chase,Financial Services,India,APAC,250,$250M-$1B,Tier 2
ACC-00067,Williams PLC,Technology,Kenya,AMEA,1000,$1B+,Tier 2
ACC-00068,Novak and Sons,Technology,United Arab Emirates,AMEA,500,$10M-$50M,Tier 3
ACC-00069,Russell Group,Technology,United Arab Emirates,AMEA,5000,$50M-$250M,Tier 3
ACC-00070,Hancock Inc,Education,United Arab Emirates,AMEA,5000,$1B+,Tier 1
ACC-00071,Gray Group,Technology,Saudi Arabia,AMEA,25,$1B+,Tier 3
ACC-00072,House-Glover,Manufacturing,Japan,APAC,50,$50M-$250M,Tier 3
ACC-00073,Henderson-Bernard,Agriculture,United Arab Emirates,AMEA,500,$1B+,Tier 2
ACC-00074,"Stanley, Tucker and Lee",Manufacturing,Spain,Europe,500,$1B+,Tier 1
ACC-00075,Novak PLC,Education,Japan,APAC,100,$1B+,Tier 3
ACC-00076,"Daniels, Adkins and Brown",Education,United Arab Emirates,AMEA,500,$50M-$250M,Tier 1
ACC-00077,"Woods, Calhoun and Schmidt",Professional Services,Italy,Europe,1000,$250M-$1B,Tier 2
ACC-00078,Yu Inc,Agriculture,France,Europe,10000,$10M-$50M,Tier 3
ACC-00079,Jones Inc,Manufacturing,Germany,WW,1000,<$10M,Tier 1
ACC-00080,"Hensley, Powell and David",Financial Services,South Africa,AMEA,100,<$10M,Tier 1
ACC-00081,"Sanchez, Wheeler and Harvey",Education,India,APAC,10000,$250M-$1B,Tier 3
ACC-00082,Sandoval-Cunningham,Agriculture,Japan,APAC,10000,$250M-$1B,Tier 1
ACC-00083,Donovan-Harris,Agriculture,India,APAC,50,$250M-$1B,Tier 1
ACC-00084,"Edwards, Baker and Anderson",Agriculture,Japan,APAC,25,$1B+,Tier 1
ACC-00085,"Evans, Stewart and Walton",Education,United Kingdom,WW,10000,$1B+,Tier 3
ACC-00086,Smith PLC,Education,Saudi Arabia,AMEA,10000,$10M-$50M,Tier 3
ACC-00087,"Ferrell, Jones and Lewis",Education,Netherlands,Europe,250,$50M-$250M,Tier 3
ACC-00088,Anderson-Bailey,Agriculture,France,Europe,500,$250M-$1B,Tier 1
ACC-00089,Suarez LLC,Financial Services,Kenya,AMEA,1000,$50M-$250M,Tier 3
ACC-00090,Moore-Bass,Financial Services,United Kingdom,WW,250,$250M-$1B,Tier 3
