activity_id,contact_id,campaign_id,activity_type,channel,timestamp
ACT-0007107,CON-005570,CMP-0006,Email Sent,Email,2026-04-09T19:29:20.335589
ACT-0004674,CON-000380,CMP-0001,Email Sent,Email,2026-05-09T10:31:13.900892
ACT-0007776,CON-002920,CMP-0006,Email Sent,Email,2026-07-09T05:36:40.180828
ACT-0007401,CON-000701,CMP-0020,Email Sent,Email,2026-07-31T00:18:05.530331
ACT-0000769,CON-006336,CMP-0022,Email Sent,Email,2026-08-20T17:29:47.741040
ACT-0015505,CON-002497,CMP-0018,Webinar Registered,Webinar,2026-08-07T07:10:12.354290
ACT-0011472,CON-000237,CMP-0007,Email Opened,Email,2026-04-11T07:58:29.335497
ACT-0014811,CON-004508,CMP-0005,Sales Accepted,Sales,2026-07-09T13:46:21.841669
ACT-0017986,CON-002041,CMP-0016,Landing Page View,Web,2026-04-05T20:36:53.081647
ACT-0015707,CON-009999,CMP-0020,Landing Page View,Web,2026-08-02T02:07:00.170812
ACT-0013635,CON-004848,CMP-0003,Email Clicked,Email,2026-06-19T11:59:54.885677
ACT-0009201,CON-003908,CMP-0001,Email Opened,Email,2026-07-14T04:51:14.779548
ACT-0006625,CON-004835,CMP-0016,Email Sent,Email,2026-07-10T09:06:42.964547
ACT-0019828,CON-001049,CMP-0009,Webinar Attended,Webinar,2026-08-25T14:25:52.529053
ACT-0005112,CON-006366,CMP-0011,Email Sent,Email,2026-07-17T05:05:40.576705
ACT-0009134,CON-001218,CMP-0007,Email Opened,Email,2026-07-22T06:23:30.983357
ACT-0022780,CON-000855,CMP-0013,Sales Accepted,Sales,2026-07-05T11:00:58.582642
ACT-0023637,CON-005356,CMP-0024,Sales Accepted,Sales,2026-09-05T09:49:17.568441
ACT-0004824,CON-006411,CMP-0004,Email Sent,Email,2026-06-03T21:07:16.352717
ACT-0020804,CON-006757,CMP-0015,Sales Accepted,Sales,2026-05-20T08:41:07.573531
ACT-0004046,CON-005922,CMP-0022,Email Sent,Email,2026-06-26T01:26:17.618932
ACT-0012259,CON-001723,CMP-0005,Email Opened,Email,2026-09-01T04:18:21.475371
ACT-0004808,CON-004477,CMP-0018,Email Sent,Email,2026-05-10T12:06:39.119082
ACT-0010771,CON-002014,CMP-0009,Email Opened,Email,2026-05-27T14:21:38.960938
ACT-0003230,CON-006068,CMP-0022,Email Sent,Email,2026-06-02T04:47:51.856731
ACT-0021180,CON-004772,CMP-0007,Webinar Registered,Webinar,2026-08-14T10:27:45.279448
ACT-0009634,CON-001361,CMP-0016,Email Opened,Email,2026-06-25T00:19:51.128711
ACT-0003359,CON-005959,CMP-0008,Email Sent,Email,2026-03-25T03:13:29.103726
ACT-0004294,CON-006210,CMP-0025,Email Sent,Email,2026-08-28T17:44:42.919989
ACT-0008616,CON-000841,CMP-0016,Email Opened,Email,2026-05-07T04:47:13.220160
ACT-0001714,CON-006710,CMP-0018,Email Sent,Email,2026-07-20T06:23:20.321967
ACT-0024610,CON-002661,CMP-0012,Webinar Registered,Webinar,2026-05-31T13:16:17.683959
ACT-0011572,CON-005923,CMP-0001,Email Opened,Email,2026-04-20T09:41:35.617154
ACT-0002572,CON-007625,CMP-0019,Email Sent,Email,2026-05-16T12:10:54.885983
ACT-0024578,CON-008179,CMP-0007,Webinar Registered,Webinar,2026-09-03T04:25:40.278666
ACT-0019641,CON-001031,CMP-0011,Webinar Attended,Webinar,2026-07-28T02:18:23.953706
ACT-0020471,CON-000067,CMP-0011,Sales Accepted,Sales,2026-07-17T09:48:58.700645
ACT-0014769,CON-006513,CMP-0011,Webinar Attended,Webinar,2026-08-14T21:36:55.079576
ACT-0007677,CON-005738,CMP-0025,Email Sent,Email,2026-05-05T03:11:58.833388
ACT-0022068,CON-000452,CMP-0024,Landing Page View,Web,2026-06-01T19:39:45.988920
ACT-0013624,CON-007280,CMP-0011,Email Clicked,Email,2026-06-21T21:37:57.590147
ACT-0017420,CON-007826,CMP-0017,Webinar Registered,Webinar,2026-08-26T04:40:59.069360
ACT-0012101,CON-008947,CMP-0014,Email Opened,Email,2026-03-19T14:33:15.258946
ACT-0005865,CON-004947,CMP-0005,Email Sent,Email,2026-07-13T11:03:43.734089
ACT-0003361,CON-002134,CMP-0007,Email Sent,Email,2026-07-04T19:34:44.919589
