product_id,product_name,business_type
PROD-001,Professional Information Subscription,Professional Information Services
PROD-002,DevOps Leadership Program,Training & Education
PROD-003,Agentic AI Practitioner,Training & Education
PROD-004,Gen AI Accelerator,Training & Education
PROD-005,Azure DevOps Bootcamp,Training & Education
PROD-006,PMP Certification Program,Training & Education
PROD-007,AI Scrum Master & Product Owner,Training & Education
PROD-008,Smart Farm Equipment Demo,Farming Machinery
PROD-009,Event Decoration Package,Event Decoration
PROD-010,SAP S/4HANA Training,SAP Training
